signals,size,development_sharpe,development_sharpe_standard_error,development_mean_daily_return,development_daily_volatility,evaluation_sharpe,evaluation_sharpe_standard_error
headline/actionable_sentiment_all|headline/sentiment_all|llm/finbert|llm/vader,4,0.686095015139375,1.7226360210441491,0.00018229239713892162,0.004217786208192461,0.28483520629630094,2.5753924869372766
headline/actionable_sentiment_all|headline/sentiment_all|llm/gemma-4-31b|llm/vader,4,0.567948576168316,1.722383037239858,0.0001452360480837708,0.00405943580903633,-0.16456697759661956,2.5752544133135644
headline/actionable_sentiment_all|headline/sentiment_non_reuters|headline/sentiment_reuters|llm/finbert,4,0.37486265094679994,1.7220721478482133,8.686803969722699e-05,0.0036786470351963642,-0.3246976407801612,2.575454555070987
headline/actionable_sentiment_all|headline/sentiment_non_reuters|headline/sentiment_reuters|llm/gemma-4-31b,4,0.2219865118949631,1.72191630255614,4.981169064207615e-05,0.0035620906341816464,-0.8564509507342676,2.5770584726506898
headline/actionable_sentiment_all|headline/sentiment_non_reuters|headline/sentiment_reuters|llm/vader,4,0.3885951030420073,1.72209005393089,9.294785146588726e-05,0.0037970149075696046,-0.4573261522020638,2.575719488674061
headline/actionable_sentiment_all|headline/sentiment_non_reuters|llm/finbert|llm/gemma-4-31b,4,0.495358357484821,1.722251228347107,0.00012594684645323518,0.004036157207320058,-0.18181062091776448,2.5752696718828214
headline/actionable_sentiment_all|headline/sentiment_non_reuters|llm/finbert|llm/vader,4,0.6318491133876954,1.7225139516246883,0.0001690830072770463,0.004248022941269833,0.15003655235404775,2.5752427350258054
headline/actionable_sentiment_all|headline/sentiment_non_reuters|llm/gemma-4-31b|llm/vader,4,0.5124081664396831,1.7222805710641071,0.00013202665822189538,0.004090212377134405,-0.3001164789871137,2.575415321388806
headline/actionable_sentiment_all|headline/sentiment_reuters|llm/finbert|llm/gemma-4-31b,4,0.07878159758780245,1.721842731323759,1.6590695755794387e-05,0.0033430285542340563,-0.5487743632449951,2.575954481510216
headline/actionable_sentiment_all|headline/sentiment_reuters|llm/finbert|llm/vader,4,0.2635845290631377,1.7219508034305357,5.9726856579605386e-05,0.0035970793049862003,-0.13425011362402994,2.5752312698724853
headline/actionable_sentiment_all|headline/sentiment_reuters|llm/gemma-4-31b|llm/vader,4,0.1048893440414508,1.7218509223139764,2.2670507524454657e-05,0.0034310744653883304,-0.6680750044517129,2.57632521905966
headline/actionable_sentiment_all|llm/finbert|llm/gemma-4-31b|llm/vader,4,0.40056728288413423,1.7221061901877721,9.880566333561373e-05,0.003915674961198796,-0.028671838325516,2.5751873260280886
headline/sentiment_all|headline/sentiment_non_reuters|headline/sentiment_reuters|llm/finbert,4,0.8887879627821516,1.7231809574204304,0.00022061338218443052,0.003940342373623597,0.3136047346415988,2.5754364676834
headline/sentiment_all|headline/sentiment_non_reuters|headline/sentiment_reuters|llm/gemma-4-31b,4,0.7691570420978329,1.7228423890143747,0.00018355703312927975,0.0037884039368528332,-0.20395800939409692,2.5752914982416533
headline/sentiment_all|headline/sentiment_non_reuters|headline/sentiment_reuters|llm/vader,4,0.8864575498218327,1.7231738961572798,0.00022669319395309095,0.004059577236821034,0.1629684769321431,2.5752530757712706
headline/sentiment_all|headline/sentiment_non_reuters|llm/finbert|llm/gemma-4-31b,4,0.9553064820834489,1.723390315414069,0.0002596921889404389,0.004315354049711437,0.3414207706826285,2.5754830107611126
headline/sentiment_all|headline/sentiment_non_reuters|llm/finbert|llm/vader,4,1.0546492458265786,1.7237310507967076,0.00030282834976424984,0.004558151479765267,0.6413281832303245,2.5762357837872414
headline/sentiment_all|headline/sentiment_non_reuters|llm/gemma-4-31b|llm/vader,4,0.9645968434004164,1.723420755478336,0.0002657720007090991,0.004373847732125316,0.21522171919297337,2.575303560002844
headline/sentiment_all|headline/sentiment_reuters|llm/finbert|llm/gemma-4-31b,4,0.6661551932995283,1.7225899835483025,0.00015033603824299803,0.0035825144736460024,0.11416447614695739,2.5752185229903923
headline/sentiment_all|headline/sentiment_reuters|llm/finbert|llm/vader,4,0.7930825243299048,1.7229061971161292,0.00019347219906680913,0.003872580534552008,0.48198394558199825,2.575778647025213
