session_date,n_names,intercept,r_squared,condition_number,beta_mean_new,beta_mean_known,beta_negshare_new,beta_negshare_known,beta_log1p_n,contrast_mean,contrast_negshare
2013-03-21,14,-0.030274415893281767,0.4057449774116447,10.974178015707183,-0.08612392578174814,0.11529401685110115,0.8610992359617843,1.0948167848352732,-0.1374024668545201,-0.2014179426328493,-0.23371754887348895
2013-03-22,12,0.05645853357893005,0.3961832469301618,10.616473742787646,-0.12200121993291857,-0.49813460200912807,-0.5822644930417635,0.3471782116872982,0.5002172974021918,0.3761333820762095,-0.9294427047290617
2013-03-25,18,0.010411230205746589,0.20514960492560885,14.065407922493561,-0.1436945747599161,0.15665421634384213,-0.07143625855462203,0.7693218276810928,-0.08564949811727485,-0.30034879110375823,-0.8407580862357148
2013-03-26,36,-0.002061118416357243,0.3465511927083553,9.5960307664164,-0.09139181292903917,0.7059535221969584,0.1863497305979964,0.27860301358617007,0.06888607252563701,-0.7973453351259976,-0.09225328298817367
2013-03-28,14,-0.1276816445761146,0.779485372130097,21.44085733364637,1.8562700145408049,0.18903338491706623,1.8205448825150616,1.2455352165626963,-0.5362974504044176,1.6672366296237386,0.5750096659523654
2013-04-01,27,0.03732939724154467,0.326491327492913,8.697444485755875,-0.24137264148276777,-0.31070956022572743,-0.2196733104376976,-0.6833583137959017,0.43932637489877013,0.06933691874295966,0.4636850033582041
2013-04-02,17,-0.0023564098309352276,0.3056973192968473,14.783479020194166,0.8885708888824055,-0.05021214199631716,0.796733994449187,-0.7231157441148937,0.1681409370314144,0.9387830308787227,1.5198497385640808
2013-04-03,23,0.023781846629820545,0.35313272458552913,9.28693410636833,-0.49422800041303205,-0.06187598489873585,0.2882366009987157,0.2620045753197895,-0.08810213597848475,-0.4323520155142962,0.026232025678926185
2013-04-04,15,0.03566962552229496,0.4407060795166956,13.400828900715972,-0.9947428684174737,0.427793738875193,-0.7322778038938419,0.9266436610135634,0.3024945067537094,-1.4225366072926668,-1.6589214649074053
2013-04-08,18,0.06593258633394171,0.3444249874281361,10.303112985820036,-0.9271157753303683,0.1939604327278291,-0.5803260079339769,0.009360887073009904,-0.0694526445583968,-1.1210762080581973,-0.5896868950069868
2013-04-09,16,0.09265381391138248,0.7000578701683302,10.622207817289793,-0.24949780992280773,-0.8148602282694395,-0.3060319536699398,-0.7333039877815505,0.13877193447949837,0.5653624183466317,0.4272720341116107
2013-04-10,15,0.037613308343468904,0.5356868893280904,9.590609802625707,-0.263703072979993,0.22310272252895577,0.008093529622367285,0.7427238527207078,-0.8386162821961061,-0.48680579550894876,-0.7346303230983405
2013-04-11,22,0.004190862686752025,0.21497165206373492,11.199212137691857,0.3519210048269935,-0.26507984543350877,0.4524358798621855,0.40381129430097457,-0.1274862917737336,0.6170008502605022,0.04862458556121091
2013-04-15,13,0.07722947138043205,0.426538748499697,21.191335622457014,-0.8230078460893263,-0.13103057147998648,-1.004939368451637,0.24435613470458187,0.7066553954251368,-0.6919772746093398,-1.249295503156219
2013-04-16,18,0.046538002950729275,0.1096668964167209,10.270597854830639,-0.2113314357911583,-0.07244970842141878,-0.4657947807843632,-0.1257259382742885,0.199933757044974,-0.13888172736973953,-0.34006884251007474
2013-04-17,18,0.03213448916400947,0.2734458824715189,8.44779011279473,-0.14208571974582387,0.3786276300565878,-0.008905854513669487,0.023983027689313877,-0.4084606933907501,-0.5207133498024117,-0.03288888220298336
2013-04-18,26,0.033516190074964806,0.1966896476864708,8.635836131580168,0.200929714707239,-0.09660137901719248,-0.16101067031796693,-0.5891519462004041,-0.09700760306984609,0.2975310937244315,0.4281412758824372
2013-04-19,11,0.06148252236001417,0.4025612861092287,9.96809879500023,0.3035055761599355,-0.27088608013036225,-0.6437024770714559,-0.33137323390761786,0.5898407230291879,0.5743916562902978,-0.31232924316383803
2013-04-22,21,0.008615497715848729,0.12391786413916328,10.606782952693687,0.11741242286508716,0.339140312014836,-0.1441477675164903,0.3576384111912107,-0.0318942826202917,-0.22172788914974886,-0.501786178707701
2013-04-23,18,0.07769202380889821,0.5279601393376991,7.410126901144832,-0.5052156959874494,-0.42055009847495284,-0.704133977721714,-0.3140848971573661,0.14707181222114632,-0.08466559751249658,-0.39004908056434795
2013-04-24,17,0.018836284058540636,0.15472367177280288,13.649051743067604,0.3008702738237975,-0.08953407486993184,1.1256136356409225,-0.5650380599441231,-0.41234543264104645,0.3904043486937293,1.6906516955850457
2013-04-25,20,0.020799480825341228,0.5166258021200876,8.957632453341756,-0.5493747492304715,0.7783326985749643,-1.0157606888733652,1.0488799692786,-0.09405646276337795,-1.3277074478054358,-2.064640658151965
2013-04-26,19,0.010945429041591242,0.3164263550115842,12.311837312860044,0.613029656056354,0.1551717705368244,0.4170152756833631,-0.5455757993455695,-0.055567206511439905,0.45785788551952955,0.9625910750289326
2013-04-29,27,0.024719842033469573,0.060836802696425996,8.093862415319627,0.11640956741679999,-0.16025033654950152,-0.17677631181901554,-0.10824820130024018,-0.0060061875553980544,0.2766599039663015,-0.06852811051877536
2013-04-30,20,0.06806631215089493,0.327731799588328,11.700692023307848,-0.0843136225363631,-0.16758219277573255,-0.04269731797184317,-0.9167546019587952,-0.5113047507930639,0.08326857023936945,0.874057283986952
2013-05-01,16,0.01943119435079863,0.5528611953014878,10.991885061859458,0.7921182490083657,-0.2966538900124067,0.7469437910376451,-1.1820988746843757,0.31789250542521763,1.0887721390207723,1.9290426657220208
2013-05-02,13,0.062307917295953495,0.7665039179818871,12.065225577061153,-0.45589960792642953,-0.6010118527553208,0.4859724199409541,-0.21725093752809116,0.1681841285740973,0.14511224482889123,0.7032233574690452
2013-05-03,12,-0.005944143867237915,0.3165484281060167,9.026411795308473,0.06912080183545428,0.2854497312177657,0.7339201899595127,0.4256696756339911,-0.3715009458330145,-0.2163289293823114,0.3082505143255216
2013-05-08,23,0.028911694432768427,0.13955984271466482,12.423765144727692,-0.2776918054458519,-0.008232985553390032,0.11733079333303277,-0.16219513561938612,0.0008511893782476341,-0.2694588198924619,0.2795259289524189
2013-05-09,17,0.002057277530537707,0.35540453529465255,8.92585149639144,0.45260458084404365,0.3408806689700157,0.03279715068298278,-0.03974406028137472,0.14351422374605072,0.11172391187402797,0.0725412109643575
2013-05-10,17,-0.004390616374942968,0.26941051120033765,9.913315946841653,0.1769917867715035,0.018090546043293784,1.0594247534083343,0.3951288466623856,-0.5003549761374549,0.15890124072820971,0.6642959067459486
2013-05-13,12,0.08030980227445729,0.41091951751094724,10.947068223683726,0.3838053811218152,-0.5357308186978352,-0.45139566616469884,-0.476658535891254,0.15254438504499898,0.9195361998196505,0.02526286972655517
2013-05-20,14,-0.017255034795467715,0.1704659424573629,12.735604867342682,0.23661281224377942,0.47976955755935624,0.10950653365906234,1.0100139047619685,-0.35276183395107114,-0.24315674531557682,-0.9005073711029061
2013-05-21,19,0.01196328947586942,0.18921718741689753,10.833846458885724,0.3842460983380225,0.06501141579761378,0.56683944609073,-0.04135777190727195,-0.4293441884021334,0.3192346825404087,0.608197217998002
2013-05-22,12,0.059430297153749055,0.4519837671303093,10.387844354782425,-0.4090558973005755,0.18282148803589945,0.02033812308548666,-0.5489587848703222,0.328527939359535,-0.5918773853364749,0.5692969079558089
2013-05-24,16,0.03722178036359739,0.18377636555724963,10.870542402021272,-0.11550769001209767,0.2472919868866853,0.2293369674783038,-0.03991207742656833,-0.5123061585614392,-0.36279967689878295,0.2692490449048721
2013-05-28,16,0.07206438054594383,0.20115834230502405,10.469761075862543,-0.271487668572902,-0.3371962282607685,-0.2937833470795951,-0.5788609559362052,0.1752680223792699,0.06570855968786649,0.28507760885661015
2013-05-29,30,0.024437674772957222,0.21776014287827516,12.463840532722337,0.3356639879881627,0.30969888956226255,-0.11792422542389563,-0.6907590034491606,-0.3029401350548025,0.025965098425900168,0.572834778025265
2013-05-30,22,0.004611896834359935,0.17399736426139967,9.76441614331317,-0.1986758460145612,0.30231295607162295,-0.2380965822402589,0.9583681279260043,-0.026832116454643416,-0.5009888020861841,-1.1964647101662633
2013-06-05,18,0.03735572564861843,0.18292356394490983,9.783782098261655,-0.21118754552899477,-0.09542242951103477,0.05097022876572176,0.2459848745682068,-0.33515125164416315,-0.11576511601796,-0.19501464580248504
2013-06-10,13,-0.0430751967061477,0.7167709329534986,9.000516814670487,0.8009931510499552,0.13444452074152058,0.44524216632930075,0.5740990458685586,0.16517623037050366,0.6665486303084346,-0.1288568795392579
2013-06-11,14,-0.028955336770185865,0.39143752918701424,11.451533526870785,0.24096351315246547,0.1621621339621939,0.49662448891363803,0.9352444338125634,-0.024245140275657374,0.07880137919027158,-0.43861994489892536
2013-06-13,20,0.018642861644300724,0.06347814279799324,10.743438462919029,-0.22539671924680854,0.20747048452674968,-0.2032758073279481,0.2996786593239511,0.17580891695202688,-0.43286720377355825,-0.5029544666518992
2013-06-17,15,0.018098710084042263,0.05146946731132862,9.906680248384617,0.024649201511440507,0.09232604763309414,0.24637285227149666,-0.03663501864505087,0.13032561470775092,-0.06767684612165363,0.28300787091654755
2013-06-18,16,0.04950342175420022,0.4746374690506754,8.644771615098763,-0.1672711259888277,0.3355284377223868,-0.6531899661921992,-0.4241665421311413,0.3249897004553754,-0.5027995637112145,-0.22902342406105786
2013-06-19,20,0.05710209729500713,0.26616232750335145,10.702347383936969,-0.011532613460924112,-0.49268788471107466,-0.04976271167047605,-1.098163675359069,0.3680629934012598,0.48115527125015056,1.048400963688593
2013-06-20,18,0.019496598541079043,0.09498292672797937,8.652699935751903,-0.17969547338881256,0.04820296948189796,-0.15060200766487886,0.2976151278317793,0.28260183626116775,-0.2278984428707105,-0.44821713549665815
2013-06-21,14,-0.06550768664899419,0.5833551545783593,34.683284801173066,2.212736998530231,-0.34213875436605384,1.5860627026925695,-0.7681997684752081,0.1457540477902966,2.554875752896285,2.3542624711677775
2013-06-24,13,0.04685968870285809,0.3159116694848305,10.262796222279427,0.3744278671364261,-0.20438960058967032,-0.20532612307306417,-0.22939364348045133,0.04632959373242338,0.5788174677260964,0.02406752040738716
2013-06-25,19,0.031211950953027146,0.30123655130183624,9.24530396965395,0.5863686771459325,-0.3797399129849243,0.42389074268030164,-0.6774107927241554,-0.13916285033218734,0.9661085901308568,1.101301535404457
2013-06-26,27,0.042930118408428225,0.20383586131629272,11.809848517061706,-0.0519829971067859,-0.4831862159214765,0.0022980464581336553,-0.7215021589693592,-0.06385306851563678,0.4312032188146906,0.7238002054274929
2013-06-27,19,0.000657082504625397,0.37026257218139536,10.847916163984472,-0.21022374250771228,0.2681654962724543,-0.17325417557588266,1.2136371211438755,-0.12329383450849983,-0.4783892387801666,-1.3868912967197582
2013-07-01,12,-0.08036043570199392,0.6067810822179308,14.480340348503066,0.8216893580223679,0.22747522247041346,-0.05809173658160231,1.7079368210208306,0.2296407919158441,0.5942141355519543,-1.7660285576024328
2013-07-02,13,0.10089472698440832,0.6060590444112715,14.58525371652412,-0.6616193909773797,0.2577601903037561,-0.5801535024270696,-0.4671350165408118,-0.17211518195310968,-0.9193795812811357,-0.11301848588625785
2013-07-03,17,-0.019640553745138036,0.3400049656902623,8.952530561187894,0.3406261242011585,0.2838763959007186,-0.16125337494284256,1.2874368684459543,-0.08290718627029545,0.056749728300439894,-1.448690243388797
